DATE,Price,Open,High ,Low,Volume,Change %
22-Jan-20,8678.50,8733.00,8805.40,8610.80,509.06K,-0.62%
23-Jan-20,8405.10,8678.50,8687.30,8309.60,722.67K,-3.15%
24-Jan-20,8439.90,8404.90,8522.00,8242.60,617.02K,0.41%
25-Jan-20,8341.60,8439.90,8447.60,8277.20,444.00K,-1.17%
26-Jan-20,8607.80,8341.60,8607.80,8304.90,468.34K,3.19%
27-Jan-20,8866.60,8608.10,8983.10,8585.60,706.45K,3.01%
28-Jan-20,9377.30,8866.60,9389.50,8866.60,954.20K,5.76%
29-Jan-20,9298.90,9377.30,9428.70,9250.90,749.88K,-0.84%
30-Jan-20,9507.30,9299.10,9569.00,9209.20,765.21K,2.24%
31-Jan-20,9349.10,9508.30,9525.00,9222.30,633.37K,-1.66%
01-Feb-20,9381.60,9349.30,9458.80,9301.50,458.42K,0.35%
02-Feb-20,9334.90,9381.50,9465.40,9183.10,683.37K,-0.50%
03-Feb-20,9296.60,9334.60,9582.80,9243.10,701.39K,-0.41%
04-Feb-20,9193.90,9296.50,9347.50,9193.90,651.68K,-1.10%
05-Feb-20,9611.80,9194.10,9726.80,9179.90,771.46K,4.54%
06-Feb-20,9772.00,9611.80,9854.90,9536.10,778.67K,1.67%
07-Feb-20,9818.60,9771.90,9872.50,9738.70,608.96K,0.48%
08-Feb-20,9895.50,9817.30,9931.20,9673.20,551.31K,0.78%
09-Feb-20,10151.50,9895.40,10157.10,9882.70,617.35K,2.59%
10-Feb-20,9854.10,10151.50,10181.70,9774.80,781.22K,-2.93%
11-Feb-20,10229.50,9854.00,10314.10,9725.10,791.28K,3.81%
12-Feb-20,10317.70,10229.30,10435.60,10229.30,803.25K,0.86%
13-Feb-20,10235.10,10321.90,10482.60,10116.90,940.30K,-0.80%
14-Feb-20,10333.00,10235.50,10372.40,10125.20,732.51K,0.96%
15-Feb-20,9907.70,10336.00,10369.80,9831.70,808.81K,-4.12%
16-Feb-20,9932.30,9907.40,10056.40,9654.90,808.91K,0.25%
17-Feb-20,9701.40,9931.70,9951.50,9468.90,961.88K,-2.32%
18-Feb-20,10158.40,9701.50,10230.10,9601.60,945.91K,4.71%
19-Feb-20,9609.40,10158.60,10230.90,9424.30,905.95K,-5.40%
20-Feb-20,9602.40,9611.90,9681.40,9448.90,870.80K,-0.07%
21-Feb-20,9684.50,9602.20,9747.10,9574.50,716.61K,0.85%
22-Feb-20,9655.70,9684.50,9706.50,9569.80,589.88K,-0.30%
23-Feb-20,9942.70,9655.60,9965.60,9653.40,775.88K,2.97%
24-Feb-20,9662.70,9943.20,9981.00,9507.00,980.00K,-2.82%
25-Feb-20,9317.20,9662.60,9672.30,9269.80,937.97K,-3.57%
26-Feb-20,8800.30,9317.10,9368.10,8672.00,1.32M,-5.55%
27-Feb-20,8818.60,8800.10,8968.30,8538.50,1.13M,0.21%
28-Feb-20,8697.50,8820.10,8898.70,8451.90,1.08M,-1.37%
29-Feb-20,8543.70,8697.10,8793.70,8539.80,683.44K,-1.77%
01-Mar-20,8540.00,8543.80,8737.20,8437.20,784.05K,-0.04%
02-Mar-20,8904.80,8537.50,8961.80,8503.10,1.02M,4.27%
03-Mar-20,8761.40,8906.10,8911.70,8669.30,1.01M,-1.61%
04-Mar-20,8757.90,8761.30,8840.30,8679.70,759.69K,-0.04%
05-Mar-20,9060.30,8757.90,9147.30,8751.50,950.76K,3.45%
06-Mar-20,9134.80,9060.60,9165.20,9004.90,1.04M,0.82%
07-Mar-20,8887.80,9134.20,9180.80,8848.70,750.65K,-2.70%
08-Mar-20,8034.10,8887.80,8888.00,8015.30,1.11M,-9.61%
09-Mar-20,7933.00,8035.80,8158.80,7648.70,1.54M,-1.26%
10-Mar-20,7891.20,7933.00,8145.50,7740.20,1.20M,-0.53%
11-Mar-20,7935.10,7892.10,7976.50,7606.00,1.10M,0.56%
12-Mar-20,4826.00,7935.20,7963.10,4546.60,3.22M,-39.18%
13-Mar-20,5584.30,4815.20,5934.30,3869.50,4.17M,15.71%
14-Mar-20,5182.70,5589.40,5634.90,5072.20,1.69M,-7.19%
15-Mar-20,5366.30,5182.90,5863.30,5120.60,1.61M,3.54%
16-Mar-20,5030.00,5366.40,5369.30,4477.70,2.55M,-6.27%
17-Mar-20,5261.10,5030.20,5432.80,4946.50,1.89M,4.59%
18-Mar-20,5361.40,5260.70,5373.10,5020.90,1.80M,1.91%
19-Mar-20,6172.00,5359.20,6379.50,5256.00,2.18M,15.12%
20-Mar-20,6205.30,6171.60,6858.10,5748.20,2.22M,0.54%
21-Mar-20,6186.20,6205.60,6438.30,5887.00,1.64M,-0.31%
22-Mar-20,5822.10,6186.90,6394.40,5771.20,1.48M,-5.89%
23-Mar-20,6468.90,5822.00,6564.70,5710.80,1.88M,11.11%
24-Mar-20,6744.60,6468.80,6814.20,6380.80,1.73M,4.26%
25-Mar-20,6678.90,6744.80,6930.20,6474.60,1.52M,-0.97%
26-Mar-20,6725.10,6677.90,6772.90,6541.70,1.18M,0.69%
27-Mar-20,6373.40,6725.50,6813.70,6322.30,1.16M,-5.23%
28-Mar-20,6233.70,6373.40,6374.30,6046.50,1.26M,-2.19%
29-Mar-20,5890.40,6233.20,6258.80,5889.30,916.17K,-5.51%
30-Mar-20,6391.00,5890.40,6576.50,5872.50,1.43M,8.50%
31-Mar-20,6412.50,6391.10,6513.10,6346.30,1.05M,0.34%
01-Apr-20,6638.50,6412.40,6661.30,6157.40,1.40M,3.52%
02-Apr-20,6800.50,6638.80,7182.70,6567.90,1.74M,2.44%
03-Apr-20,6735.90,6799.90,7026.30,6623.60,1.35M,-0.95%
04-Apr-20,6857.40,6735.90,6958.60,6679.10,1.05M,1.80%
05-Apr-20,6772.70,6857.50,6889.40,6686.00,842.33K,-1.23%
06-Apr-20,7332.30,6772.80,7335.00,6770.10,1.53M,8.26%
07-Apr-20,7185.20,7332.30,7440.30,7101.70,1.32M,-2.01%
08-Apr-20,7361.20,7185.60,7396.10,7153.10,983.94K,2.45%
09-Apr-20,7289.00,7361.10,7361.10,7140.30,963.55K,-0.98%
10-Apr-20,6863.10,7289.00,7294.40,6756.10,1.37M,-5.84%
11-Apr-20,6867.80,6862.70,6931.40,6765.10,845.58K,0.07%
12-Apr-20,6917.60,6867.90,7158.80,6785.10,1.10M,0.73%
13-Apr-20,6841.30,6918.10,6920.30,6618.50,1.25M,-1.10%
14-Apr-20,6850.90,6841.80,6970.80,6768.60,999.53K,0.14%
15-Apr-20,6629.10,6851.30,6929.50,6615.90,1.00M,-3.24%
16-Apr-20,7085.60,6629.10,7159.70,6520.50,1.54M,6.89%
17-Apr-20,7035.80,7085.50,7142.80,7005.80,810.10K,-0.70%
18-Apr-20,7230.80,7035.90,7259.40,7031.50,796.45K,2.77%
19-Apr-20,7122.90,7230.90,7238.00,7079.10,5.93M,-1.49%
20-Apr-20,6833.50,7122.90,7207.50,6771.20,1.26M,-4.06%
21-Apr-20,6842.50,6833.40,6919.30,6774.30,892.57K,0.13%
22-Apr-20,7112.90,6842.50,7137.40,6821.80,914.18K,3.95%
23-Apr-20,7488.50,7112.80,7655.40,7036.50,1.34M,5.28%
24-Apr-20,7503.80,7491.30,7583.50,7423.50,951.95K,0.20%
25-Apr-20,7540.40,7503.90,7684.60,7451.00,861.93K,0.49%
26-Apr-20,7678.90,7540.40,7679.40,7520.50,921.59K,1.84%
27-Apr-20,7766.00,7679.40,7768.50,7637.70,980.50K,1.13%
28-Apr-20,7746.90,7766.00,7770.10,7655.30,808.09K,-0.25%
29-Apr-20,8770.90,7746.70,8918.50,7729.70,1.83M,13.22%
30-Apr-20,8629.00,8770.60,9437.50,8425.50,2.04M,-1.62%
01-May-20,8821.60,8628.60,9040.30,8621.00,1.11M,2.23%
02-May-20,8966.30,8821.60,8986.20,8771.30,890.34K,1.64%
03-May-20,8885.50,8966.20,9169.90,8742.20,1.15M,-0.90%
04-May-20,8874.70,8885.50,8945.50,8553.20,1.12M,-0.12%
05-May-20,9001.00,8874.20,9078.70,8800.40,1.05M,1.42%
06-May-20,9151.40,9000.60,9373.70,8923.60,1.62M,1.67%
07-May-20,9979.80,9152.70,10033.00,9064.80,1.91M,9.05%
08-May-20,9806.20,9980.10,10018.20,9731.40,1.42M,-1.74%
09-May-20,9554.60,9806.00,9910.50,9533.60,1.49M,-2.57%
10-May-20,8738.80,9553.90,9569.40,8259.30,2.47M,-8.54%
11-May-20,8579.80,8737.60,9129.60,8235.60,2.29M,-1.82%
12-May-20,8813.80,8569.80,8964.50,8542.80,1.35M,2.73%
13-May-20,9298.70,8813.90,9384.60,8799.10,1.50M,5.50%
14-May-20,9778.40,9298.70,9887.50,9265.80,1.77M,5.16%
15-May-20,9318.00,9778.60,9819.60,9223.20,1.56M,-4.71%
16-May-20,9379.50,9318.10,9579.00,9233.00,1.10M,0.66%
17-May-20,9677.70,9376.60,9866.00,9327.80,1.18M,3.18%
18-May-20,9730.70,9678.40,9930.20,9524.40,1.18M,0.55%
19-May-20,9773.30,9730.80,9883.90,9498.70,1.16M,0.44%
20-May-20,9512.30,9773.00,9829.30,9368.40,1.15M,-2.67%
21-May-20,9059.00,9511.60,9567.10,8833.60,1.41M,-4.76%
22-May-20,9169.70,9058.20,9253.50,8952.10,914.59K,1.22%
23-May-20,9177.00,9169.80,9303.20,9098.90,812.56K,0.08%
24-May-20,8728.20,9177.90,9292.00,8724.10,1.11M,-4.89%
25-May-20,8898.20,8728.00,8959.50,8666.10,941.89K,1.95%
26-May-20,8842.50,8897.70,8994.60,8713.90,784.92K,-0.63%
27-May-20,9199.10,8842.30,9210.90,8818.60,810.89K,4.03%
28-May-20,9572.20,9199.80,9610.80,9119.20,948.86K,4.06%
29-May-20,9424.80,9573.40,9596.50,9358.10,814.33K,-1.54%
30-May-20,9692.50,9424.80,9729.90,9352.70,720.62K,2.84%
31-May-20,9454.80,9692.90,9695.60,9406.20,645.27K,-2.45%
01-Jun-20,10189.30,9454.50,10301.80,9429.70,796.68K,7.77%
02-Jun-20,9527.60,10190.70,10207.30,9347.30,1.06M,-6.49%
03-Jun-20,9667.20,9527.00,9667.20,9421.70,558.12K,1.47%
04-Jun-20,9794.40,9667.20,9864.40,9490.90,593.66K,1.32%
05-Jun-20,9631.20,9794.00,9846.10,9628.70,527.05K,-1.67%
06-Jun-20,9669.60,9630.80,9733.10,9549.50,370.85K,0.40%
07-Jun-20,9742.60,9669.60,9791.80,9417.40,549.20K,0.76%
08-Jun-20,9777.90,9743.40,9788.20,9662.30,431.04K,0.36%
09-Jun-20,9768.80,9777.70,9857.20,9616.60,479.55K,-0.09%
10-Jun-20,9878.80,9768.80,9970.90,9710.70,533.55K,1.13%
11-Jun-20,9283.20,9878.90,9945.20,9139.10,919.30K,-6.03%
12-Jun-20,9466.60,9283.70,9547.50,9249.40,529.28K,1.97%
13-Jun-20,9471.30,9466.50,9484.90,9369.90,364.97K,0.05%
14-Jun-20,9345.30,9470.70,9474.70,9264.40,311.27K,-1.33%
15-Jun-20,9425.40,9345.50,9489.70,8925.60,750.90K,0.86%
16-Jun-20,9523.50,9425.60,9577.10,9379.30,545.47K,1.04%
17-Jun-20,9464.60,9523.60,9543.60,9258.20,446.45K,-0.62%
18-Jun-20,9388.10,9464.60,9480.40,9289.30,391.67K,-0.81%
19-Jun-20,9314.00,9390.30,9424.00,9249.60,478.49K,-0.79%
20-Jun-20,9358.80,9314.00,9394.50,9199.80,383.44K,0.48%
